"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000308",382,10,9,3,173,137,81.15,15.71,3.14,39,9,0,2,2001
"S01000309",305,3,36,1,89,83,56.39,42.3,1.31,84,8,0,1,2001
"S01000310",341,0,2,1,249,69,95.31,4.4,0.29,9,3,7,1,2001
"S01000311",420,11,5,1,181,171,85.24,11.19,3.57,35,6,6,4,2001
"S01000312",263,14,10,2,86,121,78.71,12.93,8.37,17,5,0,8,2001
"S01000313",303,42,0,1,139,87,74.59,1.98,23.43,5,0,0,29,2001
"S01000314",242,28,0,0,167,36,84.71,2.89,12.4,5,2,2,2,2001
"S01000315",247,25,2,7,90,109,80.97,8.91,10.12,9,4,1,0,2001
"S01000316",379,122,2,0,93,119,56.2,5.28,38.52,10,8,1,24,2001
"S01000317",259,114,0,0,65,50,44.4,3.47,52.12,6,3,0,21,2001
"S01000318",212,1,1,1,112,91,95.75,3.3,0.94,2,3,0,1,2001
"S01000319",225,2,0,0,162,45,98.22,0.89,0.89,2,0,14,0,2001
"S01000320",325,1,0,0,252,60,96.62,2.46,0.92,8,0,2,2,2001
"S01000321",214,0,1,2,106,95,93.93,3.74,2.34,2,3,0,5,2001
"S01000322",377,2,1,0,219,137,94.43,5.04,0.53,13,5,0,0,2001
"S01000323",342,130,0,1,126,65,56.43,2.92,40.64,8,1,2,9,2001
"S01000324",312,0,4,0,253,50,97.44,2.24,0.32,2,1,1,1,2001
"S01000325",269,65,2,1,93,91,68.77,6.32,24.91,11,3,1,2,2001
"S01000326",292,79,1,1,140,36,60.27,2.4,37.33,2,3,0,30,2001
"S01000327",308,1,2,0,205,93,96.75,2.6,0.65,5,1,0,1,2001
"S01000328",198,3,0,0,142,9,76.26,3.54,20.2,6,1,0,37,2001
"S01000329",232,19,0,1,124,23,63.36,3.02,33.62,5,1,0,59,2001
"S01000330",260,3,16,1,84,100,70.77,26.54,2.69,50,2,0,4,2001
