General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01002041,409,2,83,11,72,-,6,1,74,1,15,-,263,1,62,10,92,7,10,75,17,-,-,17,3,-,-,3
S01002042,522,1,50,3,256,1,18,1,109,-,16,-,157,-,16,2,33,14,9,10,3,-,-,3,-,-,-,-
S01002043,464,-,16,2,233,-,3,1,103,-,5,1,128,-,8,-,22,5,7,10,-,-,-,-,-,-,-,-
S01002044,349,5,33,7,281,5,19,3,41,-,10,1,27,-,4,3,39,29,9,1,-,-,-,-,-,-,-,-
S01002045,375,2,102,16,220,-,31,1,80,-,25,5,75,2,46,10,54,14,18,22,3,-,3,-,-,-,-,-
S01002046,333,3,50,6,146,-,14,1,79,1,14,-,108,2,22,5,63,21,10,32,9,-,-,9,-,-,-,-
S01002047,294,1,46,9,82,-,14,-,55,-,7,1,157,1,25,8,68,8,10,50,11,-,-,11,-,-,-,-
S01002048,219,1,53,12,78,-,7,1,28,-,11,3,113,1,35,8,67,12,10,45,11,-,-,11,-,-,-,-
S01002049,389,4,90,24,126,1,12,3,81,-,10,-,182,3,68,21,117,16,21,80,27,-,3,24,3,-,-,3
S01002050,440,-,17,4,257,-,3,1,89,-,8,-,94,-,6,3,20,8,2,10,6,-,3,3,-,-,-,-
S01002051,484,-,32,5,404,-,24,4,44,-,4,1,36,-,4,-,24,20,2,2,-,-,-,-,-,-,-,-
S01002052,399,3,63,12,153,2,12,-,109,-,12,5,137,1,39,7,91,25,19,47,9,-,4,5,-,-,-,-
S01002053,256,2,51,13,65,-,7,1,44,-,16,2,147,2,28,10,70,11,12,47,10,-,-,10,-,-,-,-
S01002054,267,5,63,22,57,4,12,1,40,-,7,1,170,1,44,20,76,17,17,42,17,-,-,17,-,-,-,-
S01002055,530,2,33,3,268,1,16,2,117,-,5,-,145,1,12,1,36,15,12,9,6,-,3,3,-,-,-,-
S01002056,556,4,34,3,339,3,13,-,101,-,7,1,116,1,14,2,22,12,3,7,3,-,-,3,-,-,-,-
S01002057,496,6,50,1,195,3,17,-,107,3,17,1,194,-,16,-,32,6,8,18,-,-,-,-,-,-,-,-
S01002058,351,-,67,12,141,-,16,3,79,-,16,1,131,-,35,8,87,19,29,39,4,-,-,4,-,-,-,-
S01002059,320,2,81,8,142,1,24,1,64,-,15,1,114,1,42,6,86,24,17,45,7,-,3,4,3,-,3,-
S01002060,224,2,49,8,72,-,6,-,29,-,10,3,123,2,33,5,67,4,7,56,13,3,-,10,-,-,-,-
S01002061,324,2,54,5,108,-,13,-,67,-,12,1,149,2,29,4,59,6,11,42,9,-,-,9,3,3,-,-
S01002062,366,2,28,-,272,2,14,-,43,-,3,-,51,-,11,-,27,21,2,4,-,-,-,-,-,-,-,-
S01002063,345,2,70,4,130,-,14,-,60,-,19,-,155,2,37,4,66,15,17,34,15,-,-,15,-,-,-,-
S01002064,417,4,94,22,154,1,21,1,84,2,10,-,179,1,63,21,62,16,12,34,14,3,4,7,-,-,-,-
S01002065,312,-,54,11,79,-,7,-,44,-,10,-,189,-,37,11,77,13,16,48,14,3,-,11,-,-,-,-
S01002066,279,13,56,12,110,4,8,1,46,3,8,3,123,6,40,8,67,5,8,54,10,-,-,10,-,-,-,-
S01002067,448,-,40,6,198,-,11,2,92,-,11,-,158,-,18,4,49,20,11,18,3,-,-,3,-,-,-,-
S01002068,442,1,95,16,178,-,16,6,104,-,21,2,160,1,58,8,117,23,24,70,20,3,3,14,-,-,-,-
S01002069,329,-,32,10,108,-,6,1,64,-,7,4,157,-,19,5,40,12,5,23,3,-,-,3,-,-,-,-
S01002070,307,1,54,11,118,-,9,2,39,-,10,1,150,1,35,8,53,16,11,26,8,-,-,8,-,-,-,-
S01002071,221,-,61,13,74,-,8,-,20,-,19,-,127,-,34,13,48,3,11,34,3,-,-,3,-,-,-,-
S01002072,598,6,73,8,243,3,17,-,144,-,20,4,211,3,36,4,105,24,22,59,12,4,-,8,-,-,-,-
S01002073,352,3,57,10,173,3,19,-,65,-,12,1,114,-,26,9,90,32,20,38,6,-,3,3,-,-,-,-
S01002074,411,-,10,-,219,-,2,-,92,-,6,-,100,-,2,-,24,13,2,9,3,-,-,3,3,-,-,3
S01002075,482,2,81,17,159,-,7,1,97,1,15,4,226,1,59,12,89,14,17,58,7,-,3,4,-,-,-,-
S01002076,359,1,52,9,149,-,14,-,55,-,14,2,155,1,24,7,89,20,15,54,5,-,-,5,-,-,-,-
S01002077,528,4,30,14,248,-,8,6,128,2,11,2,152,2,11,6,33,14,10,9,8,5,3,-,-,-,-,-
S01002078,635,-,39,1,333,-,15,1,125,-,9,-,177,-,15,-,48,15,10,23,3,-,-,3,-,-,-,-
S01002079,420,3,81,15,168,1,12,1,87,-,23,2,165,2,46,12,99,11,30,58,18,3,3,12,-,-,-,-
S01002080,606,1,21,6,237,1,8,2,155,-,6,-,214,-,7,4,34,12,12,10,3,-,-,3,-,-,-,-
S01002081,335,4,72,11,152,1,10,-,49,-,17,1,134,3,45,10,67,15,16,36,15,-,-,15,-,-,-,-
S01002082,503,3,59,20,159,1,7,1,71,-,13,4,273,2,39,15,87,22,18,47,13,-,3,10,-,-,-,-
S01002083,327,1,24,2,270,1,13,1,32,-,11,1,25,-,-,-,13,10,1,2,3,3,-,-,-,-,-,-
S01002084,183,-,102,11,61,-,21,1,50,-,17,1,72,-,64,9,27,3,6,18,3,3,-,-,-,-,-,-
S01002085,148,7,54,18,47,4,18,1,31,-,12,4,70,3,24,13,48,7,14,27,-,-,-,-,-,-,-,-
S01002086,220,6,57,7,82,-,8,-,37,3,14,-,101,3,35,7,56,6,11,39,19,4,-,15,-,-,-,-
S01002087,395,7,85,12,203,-,25,3,66,3,16,1,126,4,44,8,89,13,12,64,22,4,4,14,-,-,-,-
S01002088,478,4,30,-,181,-,3,-,91,-,7,-,206,4,20,-,28,10,1,17,-,-,-,-,-,-,-,-
S01002089,608,-,27,1,163,-,5,-,127,-,10,1,318,-,12,-,33,7,10,16,-,-,-,-,-,-,-,-
S01002090,634,6,45,6,301,2,21,-,138,-,7,2,195,4,17,4,40,19,5,16,13,3,5,5,-,-,-,-
S01002091,345,7,54,8,128,2,9,-,72,4,12,1,145,1,33,7,80,21,17,42,15,-,-,15,-,-,-,-
S01002092,502,-,23,11,117,-,5,2,93,-,4,5,292,-,14,4,34,5,10,19,-,-,-,-,-,-,-,-
S01002093,369,3,59,10,149,3,12,-,78,-,21,2,142,-,26,8,82,14,10,58,7,-,3,4,-,-,-,-
S01002094,446,-,44,1,277,-,23,1,83,-,10,-,86,-,11,-,46,25,11,10,-,-,-,-,-,-,-,-
S01002095,307,1,41,8,97,-,11,-,57,1,9,3,153,-,21,5,22,3,3,16,6,3,3,-,-,-,-,-
S01002096,497,-,32,5,182,-,12,1,127,-,6,-,188,-,14,4,21,10,3,8,3,-,-,3,-,-,-,-
S01002097,482,2,12,1,228,1,3,-,114,1,5,-,140,-,4,1,15,3,5,7,3,-,-,3,-,-,-,-
S01002098,423,1,9,4,235,1,3,2,83,-,1,1,105,-,5,1,21,11,3,7,3,-,-,3,-,-,-,-
S01002099,431,3,50,36,99,-,12,5,67,-,8,5,265,3,30,26,115,12,26,77,15,6,-,9,-,-,-,-
S01002100,367,-,28,3,170,-,11,2,79,-,3,-,118,-,14,1,36,7,8,21,7,-,-,7,-,-,-,-
S01002101,478,-,41,8,330,-,16,2,64,-,8,-,84,-,17,6,49,30,6,13,7,-,-,7,-,-,-,-
S01002102,340,-,39,3,227,-,23,2,55,-,8,1,58,-,8,-,53,31,10,12,3,3,-,-,-,-,-,-
S01002103,464,2,24,5,220,-,11,1,103,1,5,1,141,1,8,3,34,12,9,13,6,3,3,-,-,-,-,-
S01002104,529,3,53,8,329,-,28,2,85,-,7,1,115,3,18,5,96,41,17,38,23,-,-,23,-,-,-,-
S01002105,558,3,49,11,74,-,3,-,85,-,6,2,399,3,40,9,53,2,17,34,7,4,-,3,-,-,-,-
S01002106,278,3,72,17,80,-,10,1,42,-,12,2,156,3,50,14,109,23,19,67,30,4,3,23,3,-,-,3
S01002107,341,1,11,-,219,-,7,-,71,1,2,-,51,-,2,-,18,8,4,6,-,-,-,-,-,-,-,-
S01002108,278,1,63,15,75,-,8,1,58,-,12,2,145,1,43,12,105,18,21,66,26,3,3,20,3,-,3,-
S01002109,328,6,79,18,71,-,15,2,67,3,15,1,190,3,49,15,112,12,26,74,26,3,7,16,-,-,-,-
S01002110,401,2,36,9,74,-,5,2,71,-,8,2,256,2,23,5,46,7,12,27,6,3,-,3,-,-,-,-
S01002111,659,-,41,-,248,-,7,-,147,-,13,-,264,-,21,-,30,13,5,12,3,-,-,3,-,-,-,-
S01002112,620,4,50,5,235,-,16,1,133,2,11,-,252,2,23,4,64,20,16,28,3,-,-,3,-,-,-,-
S01002113,459,1,31,-,172,-,10,-,111,1,10,-,176,-,11,-,15,1,6,8,3,-,-,3,-,-,-,-
S01002114,434,2,26,2,138,-,5,-,79,-,9,1,217,2,12,1,22,2,5,15,8,-,3,5,-,-,-,-
S01002115,550,2,88,28,91,-,5,3,86,-,26,1,373,2,57,24,103,17,18,68,19,-,3,16,3,-,-,3
S01002116,467,-,32,4,224,-,16,2,76,-,5,2,167,-,11,-,30,9,7,14,7,-,4,3,-,-,-,-
S01002117,286,3,75,17,86,1,16,2,42,-,15,3,158,2,44,12,82,21,14,47,16,3,3,10,-,-,-,-
S01002118,353,6,55,10,156,1,11,1,68,-,13,-,129,5,31,9,96,30,17,49,9,6,-,3,-,-,-,-
S01002119,325,1,27,1,239,1,12,1,51,-,4,-,35,-,11,-,17,9,4,4,-,-,-,-,-,-,-,-
S01002120,479,4,21,3,202,1,7,-,104,2,4,1,173,1,10,2,38,18,9,11,-,-,-,-,-,-,-,-
S01002121,414,-,22,-,279,-,11,-,74,-,7,-,61,-,4,-,14,7,4,3,-,-,-,-,-,-,-,-
S01002122,499,3,27,7,70,-,4,-,62,-,5,2,367,3,18,5,33,4,3,26,12,3,-,9,-,-,-,-
S01002123,638,3,27,1,242,-,7,1,150,3,6,-,246,-,14,-,49,13,11,25,6,-,3,3,-,-,-,-
S01002124,486,-,18,2,204,-,3,-,102,-,6,-,180,-,9,2,17,4,5,8,-,-,-,-,-,-,-,-
S01002125,607,3,64,6,215,-,16,-,115,1,9,-,277,2,39,6,73,23,11,39,8,-,4,4,-,-,-,-
S01002126,392,-,23,3,242,-,10,1,88,-,8,2,62,-,5,-,23,11,10,2,-,-,-,-,-,-,-,-
S01002127,425,2,38,3,184,-,5,2,64,-,7,-,177,2,26,1,34,15,6,13,7,-,4,3,-,-,-,-
S01002128,357,4,87,31,75,-,6,5,74,-,14,6,208,4,67,20,125,20,25,80,21,-,3,18,-,-,-,-
S01002129,366,-,29,7,173,-,12,-,52,-,4,-,141,-,13,7,49,13,7,29,6,-,3,3,-,-,-,-
S01002130,400,-,15,1,249,-,6,-,94,-,6,-,57,-,3,1,14,5,4,5,3,-,-,3,-,-,-,-
S01002131,353,1,63,25,112,-,13,6,67,-,13,2,174,1,37,17,108,23,18,67,13,-,-,13,-,-,-,-
S01002132,468,1,29,5,272,-,11,3,91,-,10,-,105,1,8,2,41,21,9,11,-,-,-,-,3,-,-,3
S01002133,610,10,105,41,105,1,12,3,109,-,20,7,396,9,73,31,114,13,20,81,29,3,4,22,-,-,-,-
S01002134,381,-,15,-,202,-,7,-,69,-,4,-,110,-,4,-,14,6,4,4,3,3,-,-,-,-,-,-
S01002135,504,2,19,-,110,1,2,-,99,1,3,-,295,-,14,-,18,4,2,12,-,-,-,-,-,-,-,-
S01002136,385,5,55,20,75,-,12,4,76,3,10,5,234,2,33,11,80,8,19,53,10,-,3,7,-,-,-,-
S01002137,539,1,30,1,328,1,9,-,119,-,6,1,92,-,15,-,32,18,9,5,6,3,-,3,-,-,-,-
S01002138,368,1,29,4,225,-,11,2,71,1,10,1,72,-,8,1,41,18,7,16,-,-,-,-,-,-,-,-
S01002139,444,-,17,4,202,-,4,2,82,-,5,-,160,-,8,2,24,9,10,5,-,-,-,-,-,-,-,-
S01002140,507,5,34,4,391,5,21,1,68,-,11,2,48,-,2,1,46,27,10,9,3,-,3,-,-,-,-,-
S01002141,394,3,48,10,164,2,11,-,61,-,9,3,169,1,28,7,58,20,10,28,3,-,-,3,-,-,-,-
S01002142,669,2,29,2,329,-,13,1,154,2,11,-,186,-,5,1,27,10,9,8,6,3,3,-,-,-,-,-
S01002143,461,-,38,4,304,-,20,-,84,-,10,2,73,-,8,2,26,13,4,9,-,-,-,-,-,-,-,-
S01002144,437,2,31,1,83,1,6,-,75,-,6,1,279,1,19,-,24,6,5,13,4,-,-,4,-,-,-,-
S01002145,562,2,59,48,72,-,3,4,82,-,8,10,408,2,48,34,89,8,15,66,20,3,3,14,3,-,3,-
S01002146,555,4,85,11,232,-,24,2,111,-,13,-,212,4,48,9,101,22,37,42,7,-,-,7,-,-,-,-
S01002147,554,-,35,2,430,-,21,1,81,-,9,-,43,-,5,1,33,23,6,4,3,-,-,3,-,-,-,-
S01002148,495,-,30,6,114,-,1,-,83,-,7,-,298,-,22,6,38,10,10,18,7,-,-,7,-,-,-,-
S01002149,605,4,63,11,410,2,33,2,96,2,15,4,99,-,15,5,59,33,11,15,3,3,-,-,-,-,-,-
S01002150,398,2,52,10,154,-,8,3,79,1,18,-,165,1,26,7,59,17,14,28,4,-,-,4,-,-,-,-
S01002151,563,9,146,18,184,2,39,2,122,4,36,7,257,3,71,9,118,28,30,60,10,-,3,7,-,-,-,-
S01002152,460,1,58,11,109,-,11,1,112,-,14,1,239,1,33,9,50,5,10,35,14,-,3,11,-,-,-,-
S01002153,354,2,17,1,188,1,7,1,73,1,6,-,93,-,4,-,12,6,3,3,3,-,3,-,3,-,-,3
S01002154,502,4,38,2,394,4,27,1,54,-,8,-,54,-,3,1,46,28,7,11,3,-,-,3,3,-,-,3
S01002155,554,3,54,3,376,2,22,1,90,-,16,-,88,1,16,2,69,42,13,14,-,-,-,-,-,-,-,-
S01002156,357,2,84,41,47,1,12,5,68,1,14,3,242,-,58,33,75,13,17,45,30,4,3,23,-,-,-,-
S01002157,455,3,43,21,60,-,2,1,64,-,9,3,331,3,32,17,43,3,8,32,16,-,3,13,-,-,-,-
S01002158,491,-,57,15,70,-,5,-,86,-,11,3,335,-,41,12,78,6,15,57,6,-,-,6,-,-,-,-
S01002159,385,3,52,20,115,2,10,-,64,-,6,2,206,1,36,18,68,15,20,33,10,-,-,10,-,-,-,-
S01002160,414,1,79,6,227,-,30,-,66,-,12,-,121,1,37,6,60,27,15,18,6,3,-,3,-,-,-,-
S01002161,296,2,83,25,62,1,15,3,54,-,22,1,180,1,46,21,105,29,17,59,12,-,3,9,-,-,-,-
S01002162,586,4,45,4,272,3,23,1,139,1,11,-,175,-,11,3,49,24,11,14,-,-,-,-,-,-,-,-
S01002163,573,3,113,20,232,-,27,4,123,1,27,3,218,2,59,13,117,25,34,58,16,-,5,11,-,-,-,-
S01002164,504,4,19,-,365,3,9,-,83,1,7,-,56,-,3,-,22,10,7,5,-,-,-,-,-,-,-,-
S01002165,559,4,40,1,284,-,17,-,136,2,15,-,139,2,8,1,49,25,14,10,6,-,3,3,-,-,-,-
S01002166,370,4,64,27,40,-,5,1,66,-,13,5,264,4,46,21,121,11,23,87,33,3,5,25,-,-,-,-
S01002167,393,-,32,3,290,-,10,3,57,-,8,-,46,-,14,-,23,16,4,3,7,-,3,4,-,-,-,-
S01002168,554,3,115,39,160,2,20,2,104,-,24,9,290,1,71,28,106,13,18,75,35,5,5,25,-,-,-,-
S01002169,393,2,79,7,101,-,7,-,89,1,12,-,203,1,60,7,86,13,19,54,10,-,3,7,3,-,-,3
S01002170,500,1,38,2,372,-,22,-,72,-,8,1,56,1,8,1,30,13,8,9,-,-,-,-,-,-,-,-
S01002171,410,1,21,-,285,1,14,-,76,-,5,-,49,-,2,-,20,15,4,1,3,3,-,-,-,-,-,-
S01002172,486,-,27,3,268,-,9,-,113,-,8,1,105,-,10,2,36,12,12,12,3,-,-,3,-,-,-,-
S01002173,521,1,62,4,179,1,21,1,103,-,17,-,239,-,24,3,59,19,11,29,8,3,-,5,3,-,-,3
S01002174,556,-,72,21,181,-,13,1,106,-,10,7,269,-,49,13,109,22,20,67,12,-,3,9,8,-,-,8
S01002175,619,4,65,17,247,-,9,2,125,-,12,3,247,4,44,12,103,28,27,48,6,-,-,6,-,-,-,-
S01002176,517,2,21,2,287,2,10,-,113,-,4,1,117,-,7,1,16,9,-,7,3,3,-,-,-,-,-,-
S01002177,451,2,87,22,88,-,11,2,79,-,15,-,284,2,61,20,92,11,21,60,7,-,-,7,3,-,-,3
S01002178,498,3,108,40,112,-,12,-,96,-,26,5,290,3,70,35,97,9,18,70,31,-,6,25,-,-,-,-
S01002179,446,-,17,3,250,-,9,-,81,-,3,1,115,-,5,2,13,7,2,4,-,-,-,-,-,-,-,-
S01002180,251,5,59,21,44,1,8,1,53,-,15,2,154,4,36,18,80,11,14,55,12,-,-,12,3,-,-,3
S01002181,459,12,60,10,252,9,21,1,81,3,13,2,126,-,26,7,63,27,20,16,3,3,-,-,-,-,-,-
S01002182,394,7,71,24,74,1,11,3,78,2,10,5,242,4,50,16,91,13,20,58,19,5,-,14,-,-,-,-
S01002183,478,1,81,9,208,-,16,2,104,-,18,1,166,1,47,6,96,20,23,53,13,-,3,10,-,-,-,-
S01002184,516,-,18,1,200,-,6,-,103,-,5,-,213,-,7,1,26,6,8,12,3,-,-,3,-,-,-,-
S01002185,442,2,54,5,299,2,33,2,78,-,12,-,65,-,9,3,40,25,12,3,7,-,4,3,-,-,-,-
S01002186,427,4,69,16,109,-,8,1,65,1,10,3,253,3,51,12,86,14,17,55,10,-,3,7,3,-,-,3
S01002187,457,7,92,24,56,2,6,5,82,2,17,-,319,3,69,19,83,7,14,62,34,4,4,26,-,-,-,-
S01002188,443,-,26,10,141,-,6,-,89,-,7,-,213,-,13,10,22,8,4,10,4,-,-,4,-,-,-,-
S01002189,452,3,66,18,190,2,9,-,90,-,16,3,172,1,41,15,92,25,25,42,6,-,3,3,-,-,-,-
S01002190,388,4,62,14,124,3,11,-,85,1,17,3,179,-,34,11,82,14,14,54,9,-,-,9,-,-,-,-
S01002191,532,2,36,2,436,2,18,1,53,-,12,-,43,-,6,1,40,30,5,5,7,3,4,-,-,-,-,-
S01002192,489,1,35,2,338,1,10,2,72,-,14,-,79,-,11,-,21,11,5,5,-,-,-,-,-,-,-,-
S01002193,515,-,26,1,125,-,6,-,100,-,3,-,290,-,17,1,40,12,6,22,7,-,-,7,-,-,-,-
S01002194,450,-,30,-,333,-,22,-,64,-,4,-,53,-,4,-,17,11,3,3,-,-,-,-,-,-,-,-
S01002195,500,11,122,38,151,-,20,5,105,3,20,4,244,8,82,29,122,10,19,93,19,5,-,14,-,-,-,-
S01002196,389,2,27,2,162,2,12,-,94,-,9,1,133,-,6,1,25,10,7,8,3,3,-,-,-,-,-,-
S01002197,331,6,51,9,143,3,17,1,86,1,14,1,102,2,20,7,62,24,19,19,6,-,3,3,-,-,-,-
S01002198,497,4,74,17,212,-,16,2,120,-,14,1,165,4,44,14,90,20,26,44,15,3,3,9,-,-,-,-
S01002199,409,3,86,24,100,-,13,3,72,1,24,4,237,2,49,17,102,20,15,67,15,3,-,12,-,-,-,-
S01002200,441,7,56,3,110,3,15,1,105,2,13,-,226,2,28,2,30,11,7,12,6,-,3,3,-,-,-,-
S01002201,465,8,101,33,69,-,6,-,92,-,23,4,304,8,72,29,107,8,16,83,41,7,8,26,-,-,-,-
S01002202,285,2,87,41,63,-,10,3,59,-,13,10,163,2,64,28,103,18,19,66,16,-,3,13,-,-,-,-
S01002203,294,-,36,12,81,-,4,5,41,-,9,3,172,-,23,4,62,6,18,38,3,-,-,3,-,-,-,-
S01002204,433,2,43,1,336,1,27,-,59,1,8,1,38,-,8,-,37,25,8,4,3,-,3,-,-,-,-,-
S01002205,458,1,63,18,94,-,3,-,83,-,11,1,281,1,49,17,83,9,13,61,17,-,-,17,-,-,-,-
S01002206,330,6,46,6,138,2,11,-,59,2,9,-,133,2,26,6,58,15,10,33,6,3,-,3,-,-,-,-
S01002207,484,-,67,3,208,-,14,-,127,-,14,2,149,-,39,1,42,9,21,12,3,-,-,3,-,-,-,-
S01002208,293,1,48,18,46,-,2,1,58,-,6,4,189,1,40,13,78,13,15,50,10,3,-,7,-,-,-,-
S01002209,563,1,81,17,208,-,25,3,128,1,28,4,227,-,28,10,92,32,24,36,10,3,3,4,3,-,3,-
S01002210,375,2,58,18,70,-,4,-,61,-,6,-,244,2,48,18,62,4,12,46,9,-,-,9,-,-,-,-
S01002211,383,1,29,2,312,1,16,2,42,-,8,-,29,-,5,-,33,24,1,8,-,-,-,-,-,-,-,-
S01002212,598,3,54,1,449,2,35,-,82,1,10,-,67,-,9,1,45,31,7,7,-,-,-,-,-,-,-,-
S01002213,429,6,42,1,241,6,13,1,90,-,8,-,98,-,21,-,29,21,5,3,6,3,3,-,3,3,-,-
S01002214,435,3,92,25,91,-,6,1,79,-,17,4,265,3,69,20,120,18,23,79,18,3,3,12,-,-,-,-
S01002215,523,-,49,3,198,-,7,-,110,-,10,-,215,-,32,3,37,11,10,16,-,-,-,-,-,-,-,-
S01002216,492,-,61,7,245,-,22,1,123,-,15,3,124,-,24,3,53,23,15,15,15,3,3,9,-,-,-,-
S01002217,424,7,105,20,155,3,28,3,120,-,22,3,149,4,55,14,96,27,22,47,14,-,-,14,-,-,-,-
S01002218,287,-,76,21,63,-,3,1,59,-,20,2,165,-,53,18,65,10,9,46,12,-,-,12,-,-,-,-
S01002219,391,-,34,5,142,-,11,1,64,-,4,-,185,-,19,4,28,3,8,17,3,-,-,3,3,-,3,-
S01002220,491,-,25,-,92,-,3,-,121,-,8,-,278,-,14,-,24,3,6,15,4,-,-,4,-,-,-,-
S01002221,465,-,72,6,230,-,24,1,110,-,19,4,125,-,29,1,84,27,21,36,8,4,-,4,-,-,-,-
S01002222,503,1,25,3,155,-,7,-,117,1,2,-,231,-,16,3,28,6,9,13,11,-,4,7,-,-,-,-
S01002223,453,-,16,-,187,-,3,-,102,-,5,-,164,-,8,-,18,7,3,8,-,-,-,-,-,-,-,-
S01002224,416,-,27,4,124,-,8,2,70,-,6,-,222,-,13,2,26,6,5,15,3,-,3,-,-,-,-,-
S01002225,375,1,74,19,120,-,17,1,55,-,17,7,200,1,40,11,83,19,15,49,15,3,6,6,3,-,3,-
S01002226,584,1,94,17,252,-,12,3,95,-,16,-,237,1,66,14,86,21,13,52,16,-,5,11,-,-,-,-
S01002227,485,2,33,3,398,2,17,2,38,-,7,-,49,-,9,1,36,24,5,7,8,-,-,8,-,-,-,-
S01002228,607,2,22,1,322,-,7,-,141,2,8,1,144,-,7,-,27,8,10,9,-,-,-,-,-,-,-,-
S01002229,426,-,31,-,126,-,6,-,85,-,8,-,215,-,17,-,22,5,5,12,9,-,3,6,-,-,-,-
S01002230,587,3,93,14,210,1,5,1,134,1,24,4,243,1,64,9,111,19,27,65,12,-,-,12,-,-,-,-
S01002231,402,5,77,13,93,1,15,-,70,-,14,2,239,4,48,11,82,9,17,56,12,3,3,6,-,-,-,-
S01002232,456,-,10,1,366,-,6,1,51,-,3,-,39,-,1,-,17,8,5,4,-,-,-,-,-,-,-,-
S01002233,550,2,67,8,269,-,29,3,128,2,14,1,153,-,24,4,95,14,32,49,7,-,4,3,-,-,-,-
S01002234,460,-,80,7,247,-,21,-,96,-,19,3,117,-,40,4,67,24,20,23,6,-,3,3,-,-,-,-
S01002235,579,3,98,7,180,-,11,1,135,1,18,-,264,2,69,6,111,10,29,72,16,4,3,9,-,-,-,-
S01002236,533,2,24,-,402,1,16,-,82,1,4,-,49,-,4,-,35,24,8,3,-,-,-,-,-,-,-,-
S01002237,641,7,73,4,403,3,33,1,127,2,20,-,111,2,20,3,61,22,22,17,3,-,-,3,-,-,-,-
S01002238,338,2,27,1,283,2,20,-,36,-,2,-,19,-,5,1,33,24,5,4,-,-,-,-,-,-,-,-
S01002239,452,3,57,3,365,2,34,2,52,1,12,1,35,-,11,-,47,35,9,3,-,-,-,-,-,-,-,-
S01002240,410,2,52,11,214,-,16,2,82,-,11,1,114,2,25,8,71,27,8,36,7,-,3,4,-,-,-,-
S01002241,518,2,23,2,406,2,18,1,66,-,4,-,46,-,1,1,34,21,7,6,-,-,-,-,-,-,-,-
S01002242,479,3,21,5,205,-,7,1,92,2,4,-,182,1,10,4,33,9,9,15,3,-,-,3,-,-,-,-
S01002243,431,2,50,5,176,-,15,1,89,1,7,1,166,1,28,3,51,20,11,20,7,-,-,7,-,-,-,-
S01002244,463,-,57,-,253,-,8,-,96,-,17,-,114,-,32,-,50,15,13,22,13,-,3,10,-,-,-,-
S01002245,496,7,97,24,164,3,19,5,93,1,14,6,239,3,64,13,90,18,20,52,10,-,-,10,-,-,-,-
S01002246,542,2,76,19,268,2,27,4,123,-,11,2,151,-,38,13,66,22,15,29,8,-,-,8,-,-,-,-
S01002247,502,5,31,-,427,5,24,-,46,-,6,-,29,-,1,-,20,16,4,-,-,-,-,-,-,-,-,-
S01002248,618,5,76,11,188,-,14,-,124,-,12,1,306,5,50,10,72,12,10,50,15,-,4,11,-,-,-,-
S01002249,410,-,70,5,259,-,32,1,61,-,15,-,90,-,23,4,44,23,8,13,12,6,3,3,-,-,-,-
S01002250,567,10,78,4,316,7,22,-,102,-,12,-,149,3,44,4,46,18,12,16,23,-,19,4,3,-,-,3
S01002251,524,-,31,5,194,-,10,-,126,-,9,1,204,-,12,4,33,10,9,14,6,3,3,-,-,-,-,-
S01002252,311,1,28,9,93,1,5,2,58,-,10,1,160,-,13,6,48,8,7,33,4,-,-,4,-,-,-,-
S01002253,607,-,38,3,473,-,26,-,75,-,5,1,59,-,7,2,22,15,3,4,-,-,-,-,-,-,-,-
