"datazone","stayer","total","mover","one_year_mover_prop","ten_year_stayer_prop"
"S01003593",789,938,149,0.158848614072495,0.177313437065272
"S01003594",883,1100,217,0.197272727272727,0.111091334594784
"S01003595",872,1064,192,0.180451127819549,0.136693722241235
"S01003596",682,824,142,0.172330097087379,0.150859140688282
"S01003597",592,673,81,0.12035661218425,0.277374431415716
"S01003598",695,746,51,0.0683646112600536,0.492560715192465
"S01003599",607,718,111,0.154596100278552,0.18648438314594
"S01003600",833,949,116,0.122233930453109,0.271511287895282
"S01003601",798,919,121,0.131664853101197,0.243710252502164
"S01003602",710,747,37,0.0495314591700134,0.601696477526901
"S01003603",743,915,172,0.187978142076503,0.124645670162369
"S01003604",704,962,258,0.268191268191268,0.044053038740909
"S01003605",591,719,128,0.178025034770515,0.140794569745624
"S01003606",826,952,126,0.132352941176471,0.241785910264515
"S01003607",510,586,76,0.129692832764505,0.249301907118942
"S01003608",509,568,59,0.10387323943662,0.333960010670039
"S01003609",937,1146,209,0.182373472949389,0.1335210480381
"S01003610",660,836,176,0.210526315789474,0.0940538507296812
"S01003611",801,923,122,0.132177681473456,0.242274748038151
"S01003612",702,1065,363,0.340845070422535,0.015483710530713
"S01003613",763,927,164,0.176914778856526,0.142707907466583
"S01003614",525,610,85,0.139344262295082,0.222994773334777
"S01003615",443,581,138,0.237521514629948,0.0664164927822274
"S01003616",602,793,191,0.240857503152585,0.0635671937498963
"S01003617",864,1033,169,0.163601161665053,0.167546056194698
"S01003618",708,826,118,0.142857142857143,0.214058315601308
"S01003619",820,939,119,0.126730564430245,0.25791856343196
"S01003620",844,1048,204,0.194656488549618,0.11476557575219
"S01003621",933,1002,69,0.0688622754491018,0.489935853351507
"S01003622",726,831,105,0.126353790613718,0.259033521165861
"S01003623",887,1010,123,0.121782178217822,0.272911892152394
"S01003624",1009,1125,116,0.103111111111111,0.336811132691989
"S01003625",689,942,253,0.268577494692144,0.0438210915342027
"S01003626",837,941,104,0.110520722635494,0.309997610077822
"S01003627",546,642,96,0.149532710280374,0.197959407991189
"S01003628",669,771,102,0.132295719844358,0.241945415427682
"S01003629",769,839,70,0.0834326579261025,0.418450209596482
"S01003630",708,805,97,0.120496894409938,0.276932402395764
"S01003631",671,790,119,0.150632911392405,0.195413376463148
"S01003632",592,864,272,0.314814814814815,0.0228076028744676
"S01003633",838,1033,195,0.188770571151985,0.123434616226468
"S01003634",1042,1184,142,0.119932432432432,0.278714886653021
"S01003635",486,642,156,0.242990654205607,0.061803406301223
"S01003636",914,1065,151,0.141784037558685,0.216753380552073
"S01003637",704,861,157,0.182346109175377,0.133565740693751
"S01003638",675,851,176,0.206815511163337,0.0985694032882371
"S01003639",739,837,98,0.117084826762246,0.287865622747975
"S01003640",904,1017,113,0.111111111111111,0.307946147657439
